Start,Finish,Weight (lb)
02/07/15 11:13,02/07/15 11:13,176.1493475
03/07/15 08:58,03/07/15 08:58,175.4879607
04/07/15 11:00,04/07/15 11:00,174.8265739
05/07/15 09:54,05/07/15 09:54,175.2674984
06/07/15 11:11,06/07/15 11:11,174.6061117
07/07/15 13:01,07/07/15 13:01,173.7242626
08/07/15 09:06,08/07/15 09:06,175.0470362
09/07/15 11:32,09/07/15 11:32,174.3856494
09/07/15 17:25,09/07/15 17:25,173.9447249
10/07/15 11:56,10/07/15 11:56,174.3856494
11/07/15 10:04,11/07/15 10:04,175.708423
13/07/15 19:55,13/07/15 19:55,174.3856494
14/07/15 12:18,14/07/15 12:18,174.3856494
15/07/15 11:32,15/07/15 11:32,174.3856494
16/07/15 11:28,16/07/15 11:28,174.3856494
17/07/15 10:13,17/07/15 10:13,175.4879607
18/07/15 12:04,18/07/15 12:04,173.9447249
19/07/15 11:25,19/07/15 11:25,173.5038003
20/07/15 09:26,20/07/15 09:26,173.0628758
26/07/15 11:04,26/07/15 11:04,173.0628758
27/07/15 09:01,27/07/15 09:01,173.9447249
28/07/15 09:28,28/07/15 09:28,173.9447249
29/07/15 09:13,29/07/15 09:13,173.0628758
31/07/15 09:49,31/07/15 09:49,172.1810268
01/08/15 10:51,01/08/15 10:51,172.1810268
02/08/15 09:14,02/08/15 09:14,174.3856494
03/08/15 09:21,03/08/15 09:21,172.8424136
04/08/15 09:54,04/08/15 09:54,171.9605645
05/08/15 09:13,05/08/15 09:13,171.9605645
06/08/15 10:31,06/08/15 10:31,171.9605645
07/08/15 07:46,07/08/15 07:46,171.2991777
16/08/15 11:57,16/08/15 11:57,171.7401022
17/08/15 10:37,17/08/15 10:37,171.51964
18/08/15 08:58,18/08/15 08:58,169.5354796
19/08/15 09:44,19/08/15 09:44,170.1968664
20/08/15 11:07,20/08/15 11:07,170.1968664
21/08/15 10:14,21/08/15 10:14,170.1968664
29/08/15 13:15,29/08/15 13:15,174.1651871
30/08/15 10:55,30/08/15 10:55,172.8424136
31/08/15 23:49,31/08/15 23:49,172.8424136
01/09/15 07:25,01/09/15 07:25,172.1810268
02/09/15 10:14,02/09/15 10:14,170.6377909
03/09/15 09:41,03/09/15 09:41,170.4173287
04/09/15 09:17,04/09/15 09:17,171.2991777
07/09/15 09:18,07/09/15 09:18,172.6219513
08/09/15 08:22,08/09/15 08:22,171.0787155
09/09/15 07:47,09/09/15 07:47,170.1968664
10/09/15 10:36,10/09/15 10:36,169.7559419
11/09/15 08:58,11/09/15 08:58,170.1968664
13/09/15 12:11,13/09/15 12:11,171.9605645
14/09/15 09:26,14/09/15 09:26,170.6377909
15/09/15 08:34,15/09/15 08:34,168.4331683
16/09/15 07:40,16/09/15 07:40,168.4331683
17/09/15 09:41,17/09/15 09:41,168.6536306
